exp_id,Time,year,month,date,hour,minute,seconds,id,Activity,MentalActivity,HeartRate,age,Gender,Handedness,mood,fresh,hunger,H_since_Sleep,H_since_Eat
fxr4jd,Thu Sep 08 2022 21:32:50 GMT+0200 (CEST),2022,9,8,21,32,50,LHH123,Doing sport,Sensory awareness,111,24,male,right,74,88,94,13,2
qbvekl,Thu Sep 08 2022 16:35:46 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,16,35,46,LHH123,"Working, Studying",Inner voice,78,24,male,right,84,25,14,9,1
8ufwy2,Thu Sep 08 2022 16:29:20 GMT+0200 (Hora de verão da Europa Central),2022,9,8,16,29,20,luc21,"Working, Studying",Feelings,96,23,male,right,85,39,94,9,1
my2eoe,Sat Sep 10 2022 13:49:01 GMT+0200 (CEST),2022,9,10,13,49,1,luc21,Commuting,Unsymbolized thinking,81,23,male,right,100,43,100,5,0
tm1d89,Mon Sep 12 2022 07:22:13 GMT+0200 (CEST),2022,9,12,7,22,13,luc21,Drinking,Feelings,75,23,male,right,50,41,100,0,0
uuao0z,Thu Sep 08 2022 21:30:07 GMT+0200 (CEST),2022,9,8,21,30,7,luc21,Chatting,Sensory awareness,111,23,male,right,71,18,100,11,0
vd52rs,Fri Sep 09 2022 20:50:55 GMT+0200 (CEST),2022,9,9,20,50,55,luc21,Eating,Sensory awareness,78,23,male,right,98,37,74,8,0
ade08y,Thu Sep 08 2022 16:33:44 GMT+0200 (CEST),2022,9,8,16,33,44,mia23,"Working, Studying",Inner voice,87,23,female,right,57,16,25,8,2
09x9d5,Sat Sep 17 2022 13:04:59 GMT+0200 (Centraleuropæisk sommertid),2022,9,17,13,4,59,Mis27,Shopping,Unsymbolized thinking,84,21,female,left,77,78,44,4,1
5fkn0g,Thu Sep 08 2022 21:30:17 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,21,30,17,Mis27,Watching TV,Unsymbolized thinking,111,21,female,left,50,58,92,11,0
8kas26,Fri Sep 16 2022 10:31:00 GMT+0200 (Centraleuropæisk sommertid),2022,9,16,10,31,0,Mis27,Eating,Inner voice,84,21,female,left,74,73,90,1,0
9bcdo0,Fri Sep 09 2022 09:31:08 GMT+0200 (Centraleuropæisk sommertid),2022,9,9,9,31,8,Mis27,Being on the Internet,Inner voice,75,21,female,left,68,27,38,1,13
fdfxak,Fri Sep 09 2022 22:51:31 GMT+0200 (Centraleuropæisk sommertid),2022,9,9,22,51,31,Mis27,Being on the Internet,Sensory awareness,99,21,female,left,33,24,70,15,2
nb9nou,Tue Sep 13 2022 17:48:49 GMT+0200 (Centraleuropæisk sommertid),2022,9,13,17,48,49,Mis27,"Working, Studying",Inner voice,87,21,female,left,50,60,73,8,1
sgqn8w,Wed Sep 14 2022 11:26:55 GMT+0200 (Centraleuropæisk sommertid),2022,9,14,11,26,55,Mis27,Housework,Inner voice,84,21,female,left,65,77,50,4,1
t9200e,Mon Sep 19 2022 01:22:26 GMT+0200 (Centraleuropæisk sommertid),2022,9,19,1,22,26,Mis27,"Sleeping, Resting",Feelings,72,21,female,left,29,19,42,15,3
twa9wy,Sat Sep 10 2022 17:27:44 GMT+0200 (Centraleuropæisk sommertid),2022,9,10,17,27,44,Mis27,"Working, Studying",Inner voice,90,21,female,left,84,72,60,9,3
txw8bn,Fri Sep 09 2022 19:23:51 GMT+0200 (Centraleuropæisk sommertid),2022,9,9,19,23,51,Mis27,Being on the Internet,Unsymbolized thinking,75,21,female,left,74,29,17,11,4
y5vtc0,Mon Sep 12 2022 07:28:05 GMT+0200 (Centraleuropæisk sommertid),2022,9,12,7,28,5,Mis27,Commuting,Unsymbolized thinking,141,21,female,left,38,31,50,0,9
zhj3jb,Thu Sep 08 2022 16:29:18 GMT+0200 (Central European Summer Time),2022,9,8,16,29,18,Mis27,"Working, Studying",Sensory awareness,105,21,female,left,70,15,73,6,1
0lbgju,Mon Oct 17 2022 15:37:11 GMT+0200 (CEST),2022,10,17,15,37,11,pid10,Listening to music,Feelings,66,23,female,right,59,57,75,8,0
17gt9c,Wed Nov 16 2022 22:15:58 GMT+0100 (CET),2022,11,16,22,15,58,pid10,"Sleeping, Resting",Inner voice,60,23,female,right,74,59,37,15,4
2tsj7z,Tue Sep 20 2022 07:08:49 GMT+0200 (CEST),2022,9,20,7,8,49,pid10,"Showering, Getting Ready",Inner voice,60,23,female,right,20,26,33,0,12
3jctk7,Wed Nov 02 2022 14:14:41 GMT+0100 (CET),2022,11,2,14,14,41,pid10,"Texting, Emailing, Social Networking",Sensory awareness,78,23,female,right,72,73,73,7,3
5hvdsj,Mon Sep 12 2022 11:08:06 GMT+0200 (CEST),2022,9,12,11,8,6,pid10,Other,Sensory awareness,72,23,female,right,59,74,60,0,4
7gpflu,Mon Oct 24 2022 20:43:56 GMT+0200 (CEST),2022,10,24,20,43,56,pid10,Watching TV,Sensory awareness,66,23,female,right,37,27,45,14,0
8ar9w1,Sat Oct 08 2022 23:11:02 GMT+0200 (CEST),2022,10,8,23,11,2,pid10,Leisure,Sensory awareness,60,23,female,right,57,67,77,15,1
9mk389,Sun Oct 30 2022 21:08:59 GMT+0100 (CET),2022,10,30,21,8,59,pid10,Watching TV,Feelings,63,23,female,right,15,20,65,10,1
aglhu9,Thu Oct 27 2022 12:35:12 GMT+0200 (CEST),2022,10,27,12,35,12,pid10,Eating,Inner voice,84,23,female,right,61,75,35,4,0
c3acu5,Sat Oct 29 2022 08:46:06 GMT+0200 (CEST),2022,10,29,8,46,6,pid10,Cooking,Sensory awareness,69,23,female,right,34,34,39,0,12
c5nymt,Thu Sep 29 2022 09:11:57 GMT+0200 (CEST),2022,9,29,9,11,57,pid10,"Working, Studying",Inner seeing,66,23,female,right,60,78,82,1,0
e99uje,Wed Sep 14 2022 11:48:22 GMT+0200 (CEST),2022,9,14,11,48,22,pid10,"Working, Studying",Inner voice,66,23,female,right,67,72,60,4,1
ealxg5,Thu Sep 08 2022 21:29:22 GMT+0200 (CEST),2022,9,8,21,29,22,pid10,"Sleeping, Resting",Inner voice,63,23,female,right,64,7,70,14,0
gfp0c7,Thu Sep 08 2022 20:21:43 GMT+0200 (CEST),2022,9,8,20,21,43,pid10,"Texting, Emailing, Social Networking",Inner voice,75,23,female,right,72,37,40,13,1
h100hw,Fri Nov 18 2022 15:31:54 GMT+0100 (CET),2022,11,18,15,31,54,pid10,"Sleeping, Resting",Unsymbolized thinking,69,23,female,right,65,16,28,8,1
j93h0r,Sun Sep 25 2022 14:46:44 GMT+0200 (CEST),2022,9,25,14,46,44,pid10,Housework,Unsymbolized thinking,57,23,female,right,70,69,100,6,1
je9tuu,Fri Oct 07 2022 14:40:47 GMT+0200 (CEST),2022,10,7,14,40,47,pid10,Watching TV,Feelings,54,23,female,right,61,36,70,7,2
m42ypd,Sat Sep 10 2022 12:09:09 GMT+0200 (CEST),2022,9,10,12,9,9,pid10,Doing sport,Inner voice,96,23,female,right,83,85,29,4,2
mhfy0x,Mon Sep 12 2022 20:19:15 GMT+0200 (CEST),2022,9,12,20,19,15,pid10,Going out into nature,Inner voice,105,23,female,right,62,87,50,13,1
mltqqh,Fri Sep 09 2022 07:41:25 GMT+0200 (CEST),2022,9,9,7,41,25,pid10,"Sleeping, Resting",Inner voice,54,23,female,right,57,79,19,0,11
ndcqs7,Thu Nov 03 2022 08:03:43 GMT+0100 (CET),2022,11,3,8,3,43,pid10,"Sleeping, Resting",Unsymbolized thinking,48,23,female,right,39,50,33,0,13
pt9hej,Fri Sep 23 2022 21:11:34 GMT+0200 (CEST),2022,9,23,21,11,34,pid10,Drinking,Feelings,81,23,female,right,17,38,77,14,2
q96hdp,Tue Oct 04 2022 21:17:05 GMT+0200 (CEST),2022,10,4,21,17,5,pid10,"Waiting, Being in line",Unsymbolized thinking,60,23,female,right,55,42,71,13,2
qexwxr,Tue Sep 13 2022 14:19:38 GMT+0200 (CEST),2022,9,13,14,19,38,pid10,"Working, Studying",Inner voice,57,23,female,right,43,64,57,1,7
qx1r5x,Thu Sep 08 2022 18:28:39 GMT+0200 (CEST),2022,9,8,18,28,39,pid10,Cooking,Sensory awareness,75,23,female,right,69,57,0,11,6
r7ynor,Thu Sep 08 2022 16:35:46 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,16,35,46,pid10,"Working, Studying",Unsymbolized thinking,60,23,female,right,58,33,15,9,4
sks444,Mon Sep 26 2022 19:22:08 GMT+0200 (CEST),2022,9,26,19,22,8,pid10,Leisure,Unsymbolized thinking,69,23,female,right,60,63,62,12,1
t4uduk,Fri Oct 14 2022 22:12:56 GMT+0200 (CEST),2022,10,14,22,12,56,pid10,Watching TV,Unsymbolized thinking,69,23,female,right,56,10,44,15,3
t53wet,Fri Nov 11 2022 10:21:05 GMT+0100 (CET),2022,11,11,10,21,5,pid10,"Waiting, Being in line",Feelings,78,23,female,right,17,77,58,2,2
u3oqrv,Thu Sep 22 2022 19:46:55 GMT+0200 (CEST),2022,9,22,19,46,55,pid10,"Waiting, Being in line",Feelings,69,23,female,right,27,64,87,13,0
u62zdk,Mon Sep 12 2022 07:23:21 GMT+0200 (CEST),2022,9,12,7,23,21,pid10,Eating,Inner voice,42,23,female,right,43,57,42,0,0
v6379f,Tue Sep 20 2022 09:24:07 GMT+0200 (CEST),2022,9,20,9,24,7,pid10,"Working, Studying",Feelings,66,23,female,right,13,37,44,2,2
wcv4n3,Mon Nov 07 2022 17:31:23 GMT+0100 (CET),2022,11,7,17,31,23,pid10,Housework,Sensory awareness,87,23,female,right,57,88,20,10,2
wwyqy7,Sun Sep 18 2022 21:38:12 GMT+0200 (CEST),2022,9,18,21,38,12,pid10,Watching TV,Inner voice,69,23,female,right,40,34,85,13,0
xpqy5p,Mon Sep 19 2022 20:13:40 GMT+0200 (CEST),2022,9,19,20,13,40,pid10,Doing sport,Sensory awareness,160,23,female,right,64,36,64,1,13
ykljrk,Sat Oct 22 2022 09:42:19 GMT+0200 (CEST),2022,10,22,9,42,19,pid10,Being on the Internet,Feelings,72,23,female,right,34,59,81,0,0
ze8nbe,Thu Sep 15 2022 21:12:13 GMT+0200 (CEST),2022,9,15,21,12,13,pid10,Being on the Internet,Sensory awareness,60,23,female,right,64,67,46,13,2
zw67pz,Sat Sep 10 2022 22:57:32 GMT+0200 (CEST),2022,9,10,22,57,32,pid10,"Texting, Emailing, Social Networking",Inner voice,54,23,female,right,66,40,38,15,4
10ypdx,Thu Nov 10 2022 13:20:21 GMT+0100 (Central European Standard Time),2022,11,10,13,20,21,pol12,"Working, Studying",Sensory awareness,80,25,female,right,72,72,33,6,2
3p4kba,Sat Sep 17 2022 21:31:40 GMT+0200 (Centraleuropæisk sommertid),2022,9,17,21,31,40,pol12,Watching TV,Unsymbolized thinking,57,25,female,right,71,21,87,15,3
3yukuv,Fri Sep 09 2022 10:46:23 GMT+0200 (Centraleuropæisk sommertid),2022,9,9,10,46,23,pol12,Doing sport,Sensory awareness,66,25,female,right,83,87,50,4,2
bfczmz,Wed Nov 16 2022 10:34:39 GMT+0100 (Central European Standard Time),2022,11,16,10,34,39,pol12,"Working, Studying",Inner voice,54,25,female,right,50,55,64,3,0
do1zas,Mon Sep 12 2022 09:49:48 GMT+0200 (Centraleuropæisk sommertid),2022,9,12,9,49,48,pol12,"Working, Studying",Inner seeing,57,25,female,right,73,40,90,3,0
e4bjc2,Mon Nov 07 2022 09:33:24 GMT+0100 (Central European Standard Time),2022,11,7,9,33,24,pol12,"Working, Studying",Unsymbolized thinking,55,25,female,right,60,30,80,2,2
f0tv5u,Mon Nov 14 2022 09:43:31 GMT+0100 (Central European Standard Time),2022,11,14,9,43,31,pol12,"Working, Studying",Inner voice,68,25,female,right,68,12,66,4,2
h5j3c6,Thu Nov 10 2022 17:23:26 GMT+0100 (Central European Standard Time),2022,11,10,17,23,26,pol12,"Working, Studying",Unsymbolized thinking,49,25,female,right,50,9,32,10,2
k5peyx,Fri Nov 18 2022 08:47:07 GMT+0100 (Central European Standard Time),2022,11,18,8,47,7,pol12,Commuting,Inner voice,70,25,female,right,50,38,77,2,1
m45kcx,Tue Nov 15 2022 12:53:43 GMT+0100 (Central European Standard Time),2022,11,15,12,53,43,pol12,"Working, Studying",Unsymbolized thinking,65,25,female,right,70,82,85,5,1
nkpk0t,Fri Oct 14 2022 19:12:55 GMT+0200 (Centraleuropæisk sommertid),2022,10,14,19,12,55,pol12,Commuting,Sensory awareness,75,25,female,right,40,33,66,13,1
pm5tyj,Mon Nov 07 2022 11:27:09 GMT+0100 (Centraleuropæisk normaltid),2022,11,7,11,27,9,pol12,"Working, Studying",Sensory awareness,51,25,female,right,72,68,75,4,1
se462x,Mon Nov 21 2022 09:44:37 GMT+0100 (Central European Standard Time),2022,11,21,9,44,37,pol12,"Working, Studying",Sensory awareness,54,25,female,right,50,31,43,3,13
x32tnz,Thu Sep 08 2022 17:15:58 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,17,15,58,pol12,"Working, Studying",Unsymbolized thinking,51,25,female,right,45,50,69,1,0
x410ew,Thu Oct 13 2022 21:53:12 GMT+0200 (Centraleuropæisk sommertid),2022,10,13,21,53,12,pol12,Being on the Internet,Unsymbolized thinking,54,25,female,right,86,50,50,15,4
xa6008,Wed Nov 16 2022 09:38:37 GMT+0100 (Central European Standard Time),2022,11,16,9,38,37,pol12,Being on the Internet,Unsymbolized thinking,51,25,female,right,50,36,28,2,12
yu20f7,Thu Sep 08 2022 16:32:20 GMT+0200 (Central European Summer Time),2022,9,8,16,32,20,pol12,"Working, Studying",Inner seeing,54,25,female,right,74,65,23,0,3
zksxve,Sat Sep 10 2022 22:51:23 GMT+0200 (Centraleuropæisk sommertid),2022,9,10,22,51,23,pol12,"Sleeping, Resting",Unsymbolized thinking,60,25,female,right,65,18,97,12,1
2ytx9u,Sun Sep 25 2022 20:08:34 GMT+0200 (Central European Summer Time),2022,9,25,20,8,34,POP33,Eating,Unsymbolized thinking,66,25,female,right,85,46,96,12,0
8pccea,Wed Oct 05 2022 06:44:23 GMT+0200 (Central European Summer Time),2022,10,5,6,44,23,POP33,"Showering, Getting Ready",Feelings,69,25,female,right,68,28,19,0,12
c7ndpt,Thu Sep 08 2022 18:28:24 GMT+0200 (Central European Summer Time),2022,9,8,18,28,24,POP33,Commuting,Inner voice,93,25,female,right,74,85,25,12,2
c8gyob,Thu Sep 15 2022 20:00:34 GMT+0200 (Central European Summer Time),2022,9,15,20,0,34,POP33,Watching TV,Unsymbolized thinking,60,25,female,right,75,49,86,13,1
d8o0bs,Fri Sep 23 2022 06:56:49 GMT+0200 (Central European Summer Time),2022,9,23,6,56,49,POP33,"Sleeping, Resting",Inner voice,60,25,female,right,55,26,63,0,12
e90kgl,Mon Sep 12 2022 12:12:32 GMT+0200 (Central European Summer Time),2022,9,12,12,12,32,POP33,"Waiting, Being in line",Unsymbolized thinking,69,25,female,right,59,42,35,6,2
et4zt5,Tue Sep 13 2022 21:16:24 GMT+0200 (Central European Summer Time),2022,9,13,21,16,24,POP33,"Sleeping, Resting",Inner voice,57,25,female,right,86,31,46,15,2
fwbesg,Tue Oct 04 2022 16:38:58 GMT+0200 (Central European Summer Time),2022,10,4,16,38,58,POP33,Cooking,Sensory awareness,66,25,female,right,64,29,22,9,4
hecqqy,Tue Sep 27 2022 14:00:09 GMT+0200 (Central European Summer Time),2022,9,27,14,0,9,POP33,"Working, Studying",Inner voice,75,25,female,right,82,63,81,8,2
hlh9o4,Mon Sep 12 2022 08:11:47 GMT+0200 (Central European Summer Time),2022,9,12,8,11,47,POP33,Chatting,Inner voice,66,25,female,right,62,33,68,2,1
hs3y9w,Sat Sep 24 2022 14:22:46 GMT+0200 (Central European Summer Time),2022,9,24,14,22,46,POP33,Chatting,Inner voice,69,25,female,right,85,85,67,6,3
lba6e4,Fri Sep 09 2022 07:05:28 GMT+0200 (Central European Summer Time),2022,9,9,7,5,28,POP33,"Sleeping, Resting",Unsymbolized thinking,57,25,female,right,55,28,38,0,12
ppsnv7,Sat Sep 10 2022 13:54:11 GMT+0200 (Central European Summer Time),2022,9,10,13,54,11,POP33,Watching TV,Sensory awareness,57,25,female,right,50,41,57,5,0
ub8327,Fri Sep 23 2022 08:33:04 GMT+0200 (Central European Summer Time),2022,9,23,8,33,4,POP33,Watching TV,Sensory awareness,66,25,female,right,66,36,86,1,0
v0dcrb,Thu Sep 08 2022 21:41:05 GMT+0200 (Central European Summer Time),2022,9,8,21,41,5,POP33,Chatting,Unsymbolized thinking,69,25,female,right,93,13,42,15,3
vnqhr1,Fri Oct 07 2022 13:22:05 GMT+0200 (Central European Summer Time),2022,10,7,13,22,5,POP33,Watching TV,Feelings,63,25,female,right,34,32,81,7,0
wdsgxc,Mon Nov 14 2022 07:17:10 GMT+0100 (Central European Standard Time),2022,11,14,7,17,10,POP33,Eating,Sensory awareness,66,25,female,right,70,38,63,1,0
zt5zz3,Thu Sep 08 2022 16:36:18 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,16,36,18,POP33,"Working, Studying",Inner voice,69,25,female,right,85,30,75,10,0
0sqdoc,Tue Sep 27 2022 07:22:40 GMT+0200 (CEST),2022,9,27,7,22,40,qwe12,"Sleeping, Resting",Sensory awareness,63,49,male,right,96,75,20,0,12
1m5505,Wed Oct 26 2022 22:32:13 GMT+0200 (CEST),2022,10,26,22,32,13,qwe12,Other,Inner voice,77,49,male,right,82,78,59,16,4
1xlyem,Fri Sep 09 2022 05:51:41 GMT+0200 (CEST),2022,9,9,5,51,41,qwe12,"Sleeping, Resting",Sensory awareness,58,49,male,right,54,28,38,0,11
2dj248,Thu Oct 27 2022 06:45:13 GMT+0200 (CEST),2022,10,27,6,45,13,qwe12,"Texting, Emailing, Social Networking",Inner voice,66,49,male,right,67,64,29,0,12
2dp0cs,Sat Nov 19 2022 13:51:22 GMT+0100 (Centraleuropæisk normaltid),2022,11,19,13,51,22,qwe12,"Working, Studying",Inner voice,71,49,male,right,66,71,54,7,2
2nca6u,Sat Sep 10 2022 18:05:31 GMT+0200 (CEST),2022,9,10,18,5,31,Qwe12,Housework,Inner voice,66,49,male,right,46,80,13,10,6
3ad2hx,Thu Nov 03 2022 06:33:43 GMT+0100 (Centraleuropæisk normaltid),2022,11,3,6,33,43,qwe12,"Sleeping, Resting",Sensory awareness,55,49,male,right,68,47,48,0,11
4fsg7f,Sat Sep 24 2022 14:21:29 GMT+0200 (CEST),2022,9,24,14,21,29,qwe12,Commuting,Inner voice,71,49,male,right,75,85,81,2,1
4uhofz,Fri Nov 11 2022 10:19:49 GMT+0100 (Centraleuropæisk normaltid),2022,11,11,10,19,49,qwe12,"Working, Studying",Inner voice,56,49,male,right,61,95,21,4,3
4ywsxl,Sun Sep 18 2022 17:18:07 GMT+0200 (CEST),2022,9,18,17,18,7,qwe12,"Texting, Emailing, Social Networking",Inner voice,84,49,male,right,61,92,20,10,5
5gk85w,Wed Oct 05 2022 06:13:56 GMT+0200 (CEST),2022,10,5,6,13,56,qwe12,"Sleeping, Resting",Inner voice,59,49,male,right,67,38,34,0,11
5utx8q,Mon Nov 14 2022 07:13:43 GMT+0100 (Centraleuropæisk normaltid),2022,11,14,7,13,43,qwe12,Other,Inner voice,78,49,male,right,61,61,86,1,0
6plsuf,Wed Nov 09 2022 22:07:54 GMT+0100 (Centraleuropæisk normaltid),2022,11,9,22,7,54,qwe12,"Sleeping, Resting",Inner voice,54,49,male,right,58,24,58,15,3
7esxus,Fri Oct 21 2022 11:35:11 GMT+0200 (CEST),2022,10,21,11,35,11,qwe12,"Working, Studying",Inner voice,59,49,male,right,70,93,14,5,4
7wmcvq,Fri Sep 09 2022 06:31:17 GMT+0200 (CEST),2022,9,9,6,31,17,qwe12,"Sleeping, Resting",Sensory awareness,52,49,male,right,32,62,13,0,12
8guacr,Thu Sep 08 2022 21:19:07 GMT+0200 (CEST),2022,9,8,21,19,7,qwe12,"Working, Studying",Sensory awareness,70,49,male,right,72,60,63,14,3
8lczqq,Sun Oct 30 2022 16:22:26 GMT+0100 (Centraleuropæisk normaltid),2022,10,30,16,22,26,qwe12,"Sleeping, Resting",Inner voice,62,49,male,right,56,43,60,0,2
ado6yc,Sat Sep 10 2022 13:48:20 GMT+0200 (CEST),2022,9,10,13,48,20,qwe12,"Working, Studying",Inner voice,76,49,male,right,65,67,34,6,0
afjt7y,Wed Nov 02 2022 22:21:03 GMT+0100 (Centraleuropæisk normaltid),2022,11,2,22,21,3,qwe12,Being on the Internet,Inner voice,54,49,male,right,70,13,50,15,3
agufy1,Sat Sep 17 2022 12:51:31 GMT+0200 (CEST),2022,9,17,12,51,31,qwe12,"Working, Studying",Inner voice,79,49,male,right,75,96,58,6,1
azlg6t,Thu Oct 13 2022 14:06:13 GMT+0200 (CEST),2022,10,13,14,6,13,qwe12,"Working, Studying",Inner voice,66,49,male,right,57,91,44,7,1
bfrk9u,Sat Nov 12 2022 21:00:46 GMT+0100 (Centraleuropæisk normaltid),2022,11,12,21,0,46,qwe12,Watching TV,Sensory awareness,59,49,male,right,89,70,80,14,1
bun5ba,Mon Oct 17 2022 18:15:00 GMT+0200 (CEST),2022,10,17,18,15,0,qwe12,Commuting,Inner voice,91,49,male,right,50,82,21,11,6
c462f2,Tue Oct 11 2022 22:18:00 GMT+0200 (CEST),2022,10,11,22,18,0,qwe12,"Sleeping, Resting",Inner voice,61,49,male,right,81,22,60,16,2
dlbbzq,Mon Sep 12 2022 07:26:25 GMT+0200 (CEST),2022,9,12,7,26,25,qwe12,Eating,Sensory awareness,73,49,male,right,80,83,93,1,0
dm6rp0,Thu Sep 08 2022 21:15:59 GMT+0200 (CEST),2022,9,8,21,15,59,qwe12,"Working, Studying",Sensory awareness,71,49,male,right,79,57,61,14,3
e9eotb,Mon Sep 19 2022 21:12:30 GMT+0200 (CEST),2022,9,19,21,12,30,qwe12,"Working, Studying",Inner voice,78,49,male,right,85,90,70,15,1
ej36df,Mon Sep 19 2022 23:09:43 GMT+0200 (CEST),2022,9,19,23,9,43,qwe12,"Sleeping, Resting",Inner voice,64,49,male,right,85,14,59,17,3
fvqzy6,Fri Nov 18 2022 08:18:13 GMT+0100 (Centraleuropæisk normaltid),2022,11,18,8,18,13,qwe12,"Working, Studying",Sensory awareness,66,49,male,right,73,81,80,2,1
grhff4,Tue Sep 13 2022 21:48:37 GMT+0200 (CEST),2022,9,13,21,48,37,qwe12,Being on the Internet,Inner voice,62,49,male,right,19,80,22,1,10
h2tbx0,Thu Sep 08 2022 18:08:55 GMT+0200 (CEST),2022,9,8,18,8,55,qwe12,Commuting,Inner voice,99,49,male,right,81,73,13,11,6
hbqs2b,Fri Sep 23 2022 08:14:43 GMT+0200 (CEST),2022,9,23,8,14,43,qwe12,"Thinking, Praying",Inner voice,69,49,male,right,84,95,92,2,1
hlhnqe,Wed Nov 16 2022 18:41:04 GMT+0100 (Centraleuropæisk normaltid),2022,11,16,18,41,4,qwe12,Other,Inner voice,60,49,male,right,76,76,15,12,7
kb13dm,Fri Oct 14 2022 21:38:13 GMT+0200 (CEST),2022,10,14,21,38,13,qwe12,Other,Inner voice,56,49,male,right,36,18,84,17,3
l1qc12,Tue Sep 13 2022 18:02:43 GMT+0200 (CEST),2022,9,13,18,2,43,qwe12,Commuting,Inner voice,97,49,male,right,88,95,9,11,5
lcxql6,Sat Sep 24 2022 14:23:00 GMT+0200 (CEST),2022,9,24,14,23,0,qwe12,Housework,Inner voice,75,49,male,right,75,59,99,12,0
lv0rd0,Sat Oct 29 2022 07:37:40 GMT+0200 (Centraleuropæisk sommertid),2022,10,29,7,37,40,qwe12,"Texting, Emailing, Social Networking",Sensory awareness,54,49,male,right,55,76,16,1,13
lw601p,Sun Oct 16 2022 17:19:45 GMT+0200 (CEST),2022,10,16,17,19,45,qwe12,"Texting, Emailing, Social Networking",Sensory awareness,64,49,male,right,79,62,29,2,3
opw0a6,Thu Sep 22 2022 21:50:51 GMT+0200 (CEST),2022,9,22,21,50,51,qwe12,"Working, Studying",Inner voice,70,49,male,right,61,39,82,18,2
pnn6vb,Tue Oct 04 2022 13:58:42 GMT+0200 (CEST),2022,10,4,13,58,42,qwe12,"Working, Studying",Sensory awareness,61,49,male,right,76,84,35,7,2
pnrhnl,Thu Sep 08 2022 21:25:50 GMT+0200 (Central European Summer Time),2022,9,8,21,25,50,qwe12,"Working, Studying",Sensory awareness,69,49,male,right,56,65,55,15,4
pvwcd8,Sat Nov 12 2022 14:08:05 GMT+0100 (Centraleuropæisk normaltid),2022,11,12,14,8,5,qwe12,"Working, Studying",Inner voice,63,49,male,right,72,84,82,7,1
pz72st,Fri Oct 07 2022 08:25:53 GMT+0200 (CEST),2022,10,7,8,25,53,qwe12,Doing sport,Inner voice,95,49,male,right,43,60,95,2,1
rz3a9g,Wed Oct 19 2022 23:50:27 GMT+0200 (CEST),2022,10,19,23,50,27,qwe12,"Waiting, Being in line",Inner voice,51,49,male,right,70,34,56,17,5
se50wn,Tue Oct 25 2022 17:21:14 GMT+0200 (CEST),2022,10,25,17,21,14,qwe12,Other,Inner voice,82,49,male,right,69,91,12,11,5
t1p0hn,Wed Sep 14 2022 11:27:29 GMT+0200 (CEST),2022,9,14,11,27,29,qwe12,Chatting,Sensory awareness,68,49,male,right,78,95,9,5,4
t5oo8u,Sun Nov 13 2022 23:12:51 GMT+0100 (Centraleuropæisk normaltid),2022,11,13,23,12,51,qwe12,"Sleeping, Resting",Inner voice,69,49,male,right,68,26,47,15,5
voyc6q,Mon Sep 12 2022 11:05:45 GMT+0200 (CEST),2022,9,12,11,5,45,qwe12,"Working, Studying",Inner voice,66,49,male,right,83,96,25,5,4
w10xuk,Sun Nov 06 2022 15:25:43 GMT+0100 (Centraleuropæisk normaltid),2022,11,6,15,25,43,qwe12,Chatting,Inner voice,71,49,male,right,68,91,22,8,4
whdzeq,Wed Oct 19 2022 07:57:22 GMT+0200 (CEST),2022,10,19,7,57,22,qwe12,Being on the Internet,Inner voice,53,49,male,right,68,62,37,1,11
wt4a75,Tue Nov 15 2022 23:31:24 GMT+0100 (Centraleuropæisk normaltid),2022,11,15,23,31,24,qwe12,"Texting, Emailing, Social Networking",Inner voice,48,49,male,right,70,17,33,17,4
wv4q5h,Sat Oct 08 2022 19:31:35 GMT+0200 (CEST),2022,10,8,19,31,35,qwe12,Chatting,Sensory awareness,60,49,male,right,90,77,95,13,1
ww07ua,Sun Oct 23 2022 08:08:42 GMT+0200 (CEST),2022,10,23,8,8,42,qwe12,"Thinking, Praying",Inner voice,58,49,male,right,27,69,37,1,13
x4uw9r,Sat Sep 10 2022 23:13:10 GMT+0200 (CEST),2022,9,10,23,13,10,qwe12,"Sleeping, Resting",Inner voice,50,49,male,right,21,15,77,15,4
yf124w,Sat Sep 10 2022 18:39:50 GMT+0200 (CEST),2022,9,10,18,39,50,qwe12,Housework,Inner voice,85,49,male,right,25,94,9,11,7
ymx8f5,Tue Sep 13 2022 14:09:55 GMT+0200 (CEST),2022,9,13,14,9,55,qwe12,"Texting, Emailing, Social Networking",Inner voice,73,49,male,right,93,95,88,8,1
zs7nnt,Tue Oct 18 2022 00:34:10 GMT+0200 (CEST),2022,10,18,0,34,10,qwe12,"Sleeping, Resting",Inner voice,50,49,male,right,81,38,65,18,1
3x6k0j,Mon Sep 12 2022 07:26:57 GMT+0200 (Centraleuropæisk sommertid),2022,9,12,7,26,57,rex13,Eating,Inner voice,57,24,male,right,32,30,100,0,0
3yr7yh,Thu Sep 22 2022 22:39:12 GMT+0200 (Centraleuropæisk sommertid),2022,9,22,22,39,12,rex13,Drinking,Unsymbolized thinking,99,24,male,right,95,93,70,4,13
4c8xvd,Thu Sep 08 2022 21:15:17 GMT+0200 (Centraleuropæisk sommertid),2022,9,8,21,15,17,rex13,Leisure,Feelings,54,24,male,right,84,22,100,9,2
